tweet_id_str,date_time,location,tweet_text,media_urls
1844174780997743063,Thu Oct 10 00:35:05 +0000 2024,India,#ratantatapassedaway #ratantata,
1844559188933955791,Fri Oct 11 02:02:35 +0000 2024,India,#ratantata,
1844296598492414464,Thu Oct 10 08:39:09 +0000 2024,India,remembering ratan tata. occasion conferment honorary citizenship singapore .,
1844093017617220050,Wed Oct 09 19:10:11 +0000 2024,India,anand mahindra tweets legend ! #ratantata,
1843254166732632175,Mon Oct 07 11:36:54 +0000 2024,India,", #ratantatahealth #ratantata",
1844086639339122853,Wed Oct 09 18:44:50 +0000 2024,India,titan #ratantata,
1844350973302669688,Thu Oct 10 12:15:13 +0000 2024,India,great great great great wonderful man shri ratan tata g #ratantatasir,
1844082183176323559,Wed Oct 09 18:27:08 +0000 2024,India,"legend , man inspiration , business hero rip #ratantata",
1844263277389545899,Thu Oct 10 06:26:44 +0000 2024,India,rest peace sir #ratantata,
1844088072964805045,Wed Oct 09 18:50:32 +0000 2024,India,inspiration generations #ratantata,
1844088700088770832,Wed Oct 09 18:53:02 +0000 2024,India,#ratantata,
1844285919781847436,Thu Oct 10 07:56:43 +0000 2024,India,"deeply saddened passing ratan tata , visionary leader , philanthropist , former president iisc ' court. condolence meeting held today institute pay respects .",
1844088218297524440,Wed Oct 09 18:51:07 +0000 2024,India,"deeply saddened passing away thiru. #ratantata , true titan indian industry beacon humility compassion. visionary leadership shaped tata group also set global benchmark ethical business practices. relentless dedication nation building , innovation , philanthropy left indelible mark millions lives. india lost giant , legacy continue inspire generations. offer deepest condolences family , colleagues , entire tata group profound moment loss .",
1844318066999796195,Thu Oct 10 10:04:27 +0000 2024,India,true gem mother india ! tribute india ratan passing #ratantata end era. prayers,
1844226356617330934,Thu Oct 10 04:00:02 +0000 2024,India,"#rip #ratantata know , architecture student cornell us , young ratan tata washed aeroplanes local flying club gain flying hours ? #rip #legend #ratantatasir #indiaremembers #tatagroup rip ratan tata , tata , india remembers",
1844279439020216665,Thu Oct 10 07:30:57 +0000 2024,India,"statement bharti enterprises founder amp chairman , sunil bharti mittal shri ratan tata demise .",
1844997616905355452,Sat Oct 12 07:04:44 +0000 2024,India,things men pasandida mard,
1844404736155406374,Thu Oct 10 15:48:51 +0000 2024,India,"honourable prime minister , shri. narendra modiji , jai maharashtra , veteran industrialist ratan tata , shaped indian industry last three decades , passed away. knew shri ratan tata closely would gathered person least interested honours accolades. contributions indian industry economy immense. importantly , humanity true greatness. person received bharat ratna , highest civilian honour , lifetime. party request hope declared bharat ratna posthumously. sure indians expectation. news ratan tata ' death came yesterday , people voluntarily paused programs paid tribute. venues mumbai even dandiya stopped midway , two minute silence observed. since morning , everyone india pouring tributes social media. someone home departed. personalities ' bharat ratna ' ? therefore , sure take decision regard instruct concerned. india veritable mine gems. bestowing civil honour take place appropriate stage lives. never anyone request posthumous honour anyone. honouring someone life , hale hearty , better. often see eminent people receiving honour state physical disrepair , right. sure institute definite policy regard. raj thackeray .",
1844078969181913252,Wed Oct 09 18:14:22 +0000 2024,India,man zero haters #ratantata,
1844781511276450055,Fri Oct 11 16:46:01 +0000 2024,India,french president macron condoles demise shri ratan tata,
1844418312484290666,Thu Oct 10 16:42:47 +0000 2024,India,". sue warm kind hearted know ratan tata sir someone really admired , business sense kindness , passion amp nature wise , think took inspiration businessman , money putting heart business",
1844080031578067227,Wed Oct 09 18:18:35 +0000 2024,India,greatest indian entrepreneur ever. sir ratan tata really built india ' trusted brands. always hero. rest peace,
1844700421136302158,Fri Oct 11 11:23:47 +0000 2024,India,srk left hasnt posted sir ratan tata anywhere,
1844293854142529707,Thu Oct 10 08:28:14 +0000 2024,India,"titan clocks stopped today. #ratantata , visionary steered tata sons global powerhouse , passed away 86. end era. rest power",
1614637875269894145,Sun Jan 15 14:57:22 +0000 2023,India,"day , 25 years ago , indica unveiled. india first truly indigenous car laid foundation tata motors car biz. pragati maidan jan 15th , 1998 amp today honoured celebrate 25th anniv ratan tata man behind legendary car .",
1844089075197747269,Wed Oct 09 18:54:31 +0000 2024,India,"rip ratan tata ! first indian brand leo messi became ambassador tata motors. kid , still remember big deal see global football icon like messi face indian automobile manufacturer. back , leo said , excited first association indian brand extremely thrilled part tata motors family. always fascinated india heard great things diverse country. tata motors true representation india well established brand , globally. important believe keep pushing achieve success first campaign stands .",
1352126362698575872,Thu Jan 21 05:30:20 +0000 2021,India,thank mr #tata mentor amp guide us past 6 years. learnt much you. always motivated right things always think others myself. #ratantata #lifelessons #life #mi,
1844787833535385771,Fri Oct 11 17:11:08 +0000 2024,India,#ratantata,
1844293240729764029,Thu Oct 10 08:25:48 +0000 2024,India,"titan clocks stopped today. #ratantata , visionary steered tata sons global powerhouse , passed away 86. end era. rest power",
1676511483293999104,Wed Jul 05 08:41:00 +0000 2023,India,#ratantata #animallovers #monsoon2023 #news7tamil,
1844155652815585420,Wed Oct 09 23:19:05 +0000 2024,India,"never underestimate power kindness , empathy , compassion interactions others. ratan tata",
1844225721348259925,Thu Oct 10 03:57:30 +0000 2024,India,good fortune meeting spending time legend called rnt fond memories last decade. truly missed sir #ratantata,
1483761998370598921,Wed Jan 19 11:23:22 +0000 2022,India,"know ratan tata ' younger brother jimmy tata lives quiet reticent life humble 2 bhk flat colaba , mumbai ! never interested business , good squash player would beat every time. low profile like tata group !",
1844728333520802191,Fri Oct 11 13:14:42 +0000 2024,India,"weekend vibes slow success builds character , fast success builds ego. ratan tata #words wisdom #life good",
1845110230318772580,Sat Oct 12 14:32:14 +0000 2024,India,"let every youngster know gem person ratan tata sir was. life testament integrity , humility , selfless dedication. titan india rest peace legend #ratantata #india #everythingisknowledge",
1844086834927894864,Wed Oct 09 18:45:37 +0000 2024,India,truly ratan world #ratantata,
1844097372072313135,Wed Oct 09 19:27:29 +0000 2024,India,"mourn loss #ratantata , visionary leader former chairman emeritus tata sons , passed away 86 mumbai. remarkable leadership transformed tata group global powerhouse , legacy inspire generations come. rip sir #endofanera",
1844095435344171139,Wed Oct 09 19:19:48 +0000 2024,India,tribute legend ! #ratantata,
1844081902141177996,Wed Oct 09 18:26:01 +0000 2024,India,rest peace #ratantata sir,
1844092142978990214,Wed Oct 09 19:06:43 +0000 2024,India,much hurting #ratantata,
1844081070565978604,Wed Oct 09 18:22:43 +0000 2024,India,bye king om shanti #ratantata sir,
1845115347646480460,Sat Oct 12 14:52:34 +0000 2024,India,#ratantata,
1474618447988346881,Sat Dec 25 05:50:09 +0000 2021,India,,
1844267757791224011,Thu Oct 10 06:44:32 +0000 2024,India,"shantanu naidu navigating heartache losing mentor close friend , ratan tata #ratantata #tata #rip #shantanunaidu #pinkvilla",
1844086334102831598,Wed Oct 09 18:43:38 +0000 2024,India,". #ratantata , ,",
1844093258244424021,Wed Oct 09 19:11:09 +0000 2024,India,"visionary built businesses dreams. legacy continue inspire generations lead compassion , courage , unwavering integrity ! rest peace , ratan tata !",
1844701079000248465,Fri Oct 11 11:26:24 +0000 2024,India,"sushant singh rajput died , remained silent. rohit sharma virat kohli declare retirement , remained silent. ratan tata passed away , remained silent. dholak played ambani ' house , danced wearing ghunghru. right wrong ? ?",
1844335931618361625,Thu Oct 10 11:15:26 +0000 2024,India,farewell visionary true gentleman. ratan tata legacy forever inspire us. rest peace. #ratantata #ripratantata #rekhta,
1844081597534044292,Wed Oct 09 18:24:48 +0000 2024,India,india lost one valuable son ! #ripratantata #ratantata !,
1844058867887661161,Wed Oct 09 16:54:29 +0000 2024,India,"screenshot getting viral , true ? #ratantata #",
1845013540014522608,Sat Oct 12 08:08:01 +0000 2024,India,"love ratan tata , must read thread story zero pr , ' find anywhere ! 1. let ' start",
1844258890789409150,Thu Oct 10 06:09:18 +0000 2024,India,", , #tatagroup #ratantata #ratantatasir",
1828076632675877248,Mon Aug 26 14:26:47 +0000 2024,India,"85 year old built 300b empire discreetly donated 100b keep billionaire ' list owner jaguar land rover , india ' airline , steel , retail , car , tech sectors. meet greatest philanthropist ' never heard ratan tata",
1843204260407959968,Mon Oct 07 08:18:35 +0000 2024,India,"sir , #ratantata",
1844650927287902564,Fri Oct 11 08:07:07 +0000 2024,India,"despite influential personality .... best ... shri ratan tata remained humble n earth throughout life.ratan tata great human , humble .... lesson hordes ego inflated n arrogant #ratantatasir #ratantata",
1844238842372767929,Thu Oct 10 04:49:38 +0000 2024,India,"#ratantatasir ratan tata indian industrialist philanthropist served chairman tata group tata sons 1990 2012. born glorious 28th december 1937 , mumbai 28 12 37 note number 281237",
1844587006526963745,Fri Oct 11 03:53:07 +0000 2024,India,om shanti ... #ratantata,
1844112932214653284,Wed Oct 09 20:29:19 +0000 2024,India,finest words #ratantata,
1844103204017148245,Wed Oct 09 19:50:40 +0000 2024,India,"rare photo sir ratan naval tata grandmother navajbai tata , philanthropist amp first woman director tata sons .",
